Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Hariyama,Counter,Fighting,Dynamic Punch,Fighting,40,,,3.1371305,,3.1079512,,,,,,,,,,,,,,,,,,,,,,,,,,1.4376159,,,,,,,,4.3163605,2.5928621,3.0718763,4.938395,2.8820307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.037652,3.0231066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3444169,,,,,,,,,,,,,,,,,,,,,1.3180963,,1.0720419,,,,,,,,,,,,,,,,,1.6295036,,,,,,,,,,,,,,,,,,,
Braviary,Air Slash,Flying,Rock Slide,Rock,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.191433,3.2311966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7147706,,,,,1.3804203,,,,,,,3.2705908,,1.9157733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.678423,,,,
Buzzwole,Counter,Fighting,Lunge,Bug,40,,,,,3.7899954,,,,,,,,,,,,,,,,,,,,,,,,,,2.0692358,,,,,,,,5.2921953,3.1542227,4.0475883,6.7627873,4.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0503914,,1.3170593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Ursaluna,Rock Smash or Tackle,Fighting or Normal,Thunder Punch,Electric,40,5.4907966,5.39966,,,,,6.6882014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6238375,7.2133284,4.363422,,,,,,,,,6.687475,4.0181894,,,,,,,,,,,,,,,,,,,,,,,,3.5358317,,,,,,,,,,,,,,,,,,,,,,,,,8.615059,5.1834774,6.152792,3.718663,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.490026,,,,,,,,,,,,4.9465632,,,,,,,,,,,,,,,,,3.6760178,,,5.209671,,,,,,,,,,,3.86369,,,,,,,4.489468,,,,,,,,,,,,,,,,,,3.5613785,,,,,,,,,,,,,,,,,3.1223297,,,,,,,,,,,,,,,6.9380956,,
Shadow Crawdaunt,Snarl or Waterfall,Dark or Water,Bubble Beam,Water,40,,,,,,,,,,3.518034,,,,3.511421,,,,,,,,,,,,,,,,,,3.16464,,,3.849498,1.0974667,,,,,,,,,4.218864,2.4884007,,,,5.9382286,3.4827106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9442844,,,,,,,,,,3.0944967,5.19899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3324792,,,,,,,,,,,4.4161615,,,,1.171396,,,,,,,,,,,,1.9221905,,,,,,,,,,,,,,,1.7177796,,,,,,,,,,,,,,4.186017,,,,,,
Shadow Chandelure,Fire Spin or Hex or Incinerate,Fire or Ghost,Shadow Ball,Ghost,40,,,,2.9911284,,,,,,,,2.441129,2.9921474,,2.9901493,,2.5335732,,3.0124872,,2.368751,,2.8175712,2.7758455,1.7822251,1.5486351,2.5109646,1.5962528,2.0339105,3.3192616,,,5.055624,2.7677076,2.0430322,0.59582436,4.0143843,2.4402573,,,,,,,,,,,2.7743425,,,,,,,2.0894814,3.3160098,,,,,,,,,4.3382144,2.5373797,3.8308213,2.1959317,6.0466948,3.3189843,1.539443,2.5076902,,,1.7337489,2.3898191,3.9206,,,1.2666897,1.9464517,3.7203345,2.1486902,2.1236136,3.4716089,1.9277579,2.8578296,,,,,1.770856,1.2600058,1.9532319,1.8261552,,,,,,,,,,6.493034,3.732576,,,,,5.1359105,3.0854015,,,2.588784,2.167666,1.8452284,2.1577947,,,,,,,,4.1785383,2.5761738,2.1563368,3.5024385,,,,,3.1878953,,3.5390666,,,,,,,,,,,,,1.3092241,,3.1440763,2.1568198,,,,,,2.3663886,,,,2.6270978,,,2.3090255,,,,,,,,,,,,2.521774,,,,1.1532521,,2.8686788,,2.4109528,,,1.4990965,,,1.4912057,1.5052323,1.8350688,,,,1.091282,,,2.6286879,1.6423383,,,1.2652388,1.1235921,,,,,1.6508889,1.5009527,1.4355915,,,,,,1.078749,,1.6155388,,,,1.6256409,,1.8224803,,,,4.693592,4.7979736,,4.857609,4.11896
Darmanitan,Fire Fang,Fire,Overheat,Fire,40,,,,2.9174078,,,,,,,,,2.9214444,,,,,,2.9016309,,,4.359272,2.6411123,,,,2.8976243,,,,,,4.266521,2.6244755,,,,,,,,,,,,,,,2.556943,,,,,,,2.4050918,4.075428,,,,,,,,,,,,,,,,2.5139358,,,,2.2489617,3.6700356,,,1.1793646,1.7924656,,,,,,,,,,,,,,,,,,,,,,,,,3.5543816,,,,,5.169321,3.142113,,,2.4051113,,2.2280798,,,,,,,,,,,,,,,,,2.903602,,3.3230362,,,,,,,,,,,,,,,,,1.4541625,1.4088324,1.4069737,1.4582658,1.4508213,,,,,,,,,,,,,,,,,,,,2.3628814,,1.369091,,,,,,,,,,,,1.3287113,1.4491719,,,,,0.8369768,,,,,,,,,,,,,,,1.1987913,,,,,,,,1.6039127,,,1.0520368,,,1.700791,,,,,,,,
Shadow Shiftry,Feint Attack or Razor Leaf or Snarl,Dark or Grass,Leaf Blade,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8982394,,,,,,,,,,,,,,,,,,,,,,,3.0713904,,,,,,,,,,5.097512,3.035953,,,,,,,,,,2.9083283,,2.5495934,4.2521825,,,,,,,,,,,,,4.674168,,,,,,3.3304834,,,,,,2.0191946,3.240729,,,,,,,,,,,,,,,,,,2.658998,4.8490596,,,,,,,6.797503,4.274818,,,,,,,,,,,,,,,,,,,,,,,1.1248579,5.22466,3.67071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.645614,,,,,,,,,,,,1.1589811,,,,,,2.388956,,,,,,,,,,,,,,,,,,,,,,,1.8682638,1.1049174,,,,,,,,,
Flygon,Mud Shot,Ground,Stone Edge,Rock,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7916703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Koko,Quick Attack or Volt Switch,Electric or Normal,Dazzling Gleam,Fairy,40,,,,,,,,,,,,,,,,,,,,4.401532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.265575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6918205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4601357,,,,,,,0.9896123,,,,,,,,,,,,,,,,1.7853013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,Dragon Breath,Dragon,Thunder,Electric,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6716766,4.0635643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Vileplume,Acid or Razor Leaf,Grass or Poison,Petal Blizzard,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3136053,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9340916,3.424659,,,,,,,3.5774393,,,,,,,,,,,,,,,,2.4446282,,,,,,,,,,,,,,,,,,,,2.1151724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regigigas,Hidden Power Bug or Hidden Power Fighting or Hidden Power Ground or Hidden Power Rock,Bug or Fighting or Ground or Rock,Giga Impact,Normal,40,,,3.4647663,,,,3.4268625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.253047,,,,,,,,,,,,,,,,,,,,,,,,2.7940955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3888113,,,,,,,,,,,,,,,,2.3083196,,4.0571623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victreebel,Acid,Poison,Leaf Blade,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3259625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudowoodo,Rock Throw,Rock,Meteor Beam,Rock,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3428738,1.9186636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapidash (Galarian),Fairy Wind,Fairy,Body Slam,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.510101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5152938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.178679,,,,,,,,,,,,,,,,3.8026164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Lugia,Extrasensory,Psychic,Hydro Pump,Water,40,,,,,,,,,4.2612014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.100106,,2.0532618,,,,,,,,,,,,,,,,3.3796415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7476423,,,,,,7.987385,4.77428,,,,,,4.2144494,3.3280249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4834924,,,,,1.7292678,,,,,,,3.107788,,2.3603885,,,,,,,,,,,,,,,1.6987721,,1.5564787,,,,,,,,,2.362931,,2.409214,,,,,,,,2.9897933,,,,8.164609,,,,
Shadow Gyarados,Bite or Dragon Tail or Waterfall,Dark or Dragon or Water,Outrage,Dragon,40,,,,,,3.140757,,,,3.8356812,,,,3.8285882,,,,3.839809,,,,,,,,,,,,,,3.4852788,,,,,,,,,,,,,4.390558,2.6914456,,,,6.1455727,3.4939857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7408826,,,,,,,,,,,,,,,,,3.00943,4.8423905,2.8932922,,,,,,,,,,,,,,,,,,,,2.6863945,,,5.3071446,3.1743982,3.0212488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.968025,,1.1147611,,,,,,,,,,,,2.1390676,,,,,,,,1.6764935,,,,,,,1.8912698,,,,,,,,,,,,,,4.204052,,,,,,
Shadow Gyarados,Bite or Dragon Tail or Waterfall,Dark or Dragon or Water,Dragon Pulse,Dragon,40,,,,,,3.3873005,,,,3.8537273,,,,3.844117,,,,3.854575,,,,,,,,,,,,,,3.573806,,,,,,,,,,,,,4.4934273,2.778876,,,,6.070241,3.5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9801302,,,,,,,,,,,,,,,,,3.2274802,5.1827397,3.1353326,,,,,,,,,,,,,,,,,,,,2.8666346,,,5.359109,3.233687,3.091511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.968025,,1.1147611,,,,,,,,,,,,2.1476517,,,,,,,,1.6915941,,,,,,,1.9112134,,,,,,,,,,,,,,4.204052,,,,,,
Shadow Dialga,Dragon Breath,Dragon,Roar Of Time,Dragon,40,2.9220517,2.8591623,3.322645,3.2479582,3.2580073,2.0736597,3.2515578,8.229602,3.2545974,3.2519007,3.2530923,3.2472956,3.2551818,3.2476645,3.2508044,3.2508905,3.2549136,3.2403772,4.6179943,3.2476113,2.6403491,5.0682535,3.245768,3.4479623,2.1500907,2.068733,3.3316944,2.7308044,2.7589605,4.4311275,2.5302994,3.0294628,7.62437,4.6108522,3.0601988,0.8812158,5.3330746,3.3257143,5.298462,3.5063477,2.9703765,5.4261875,2.8920996,9.192131,4.2355976,2.466674,1.7139897,4.1778574,2.9916215,6.0735497,3.4172802,7.763495,4.5411363,5.571416,3.384952,4.375138,6.709729,2.5454514,2.065291,1.6988449,5.149516,2.9466324,1.5869086,1.898042,1.5885932,3.3975449,2.0907319,2.9149625,1.7949536,6.3935947,4.0151167,2.5473318,9.7237,2.7619476,4.32105,2.4369726,4.2160726,6.443102,2.948896,2.9703133,2.2028255,3.4546843,4.425926,2.8545477,2.809468,4.557185,2.795865,3.5091348,1.9135212,2.819921,4.528765,2.5594306,2.6748025,2.806679,4.3337755,1.6624013,2.0462654,3.387969,1.9378972,2.0716095,3.4428964,4.3830476,2.6634326,2.4380016,1.5032463,7.023009,4.2786064,5.472437,3.2568295,6.588331,4.0945654,8.299674,5.6798487,3.776615,1.9349332,2.755494,2.306974,4.125493,2.2351766,4.787158,2.8827517,6.105551,3.0150626,3.0210564,2.5588877,2.6213806,5.372008,3.297416,2.9498131,5.005502,4.8474007,2.9482882,2.9555793,3.1607842,10.961172,8.379775,6.0166698,3.3743436,2.605669,4.106753,2.3902113,2.8274772,2.9530342,1.8589075,2.3564734,2.005829,1.7862077,2.005829,1.588851,1.6956624,0.85129637,4.0778217,2.7975686,4.2261,4.1983767,4.27538,4.1468053,4.2030954,1.8242333,1.6995181,0.93683374,1.7900368,6.438911,8.546289,5.9949994,7.0322094,2.1509295,2.4929013,2.1727357,2.5628045,6.3117824,2.5467665,2.5947225,1.3898289,1.7562757,5.862666,2.80802,4.2056003,0.9003106,4.011334,2.7691357,1.8875358,2.065432,4.4615955,4.7597213,3.7559936,4.8804994,1.8470275,2.1840632,1.3153145,2.453593,2.477187,5.828356,4.1734133,1.6491162,1.268011,2.1719723,1.4952289,1.1551514,1.7102455,3.6379871,1.9760389,2.6674883,1.1173716,1.3128008,1.2310184,1.9267256,1.8131796,1.196477,2.0447433,4.139332,1.9489857,1.4582402,2.0753899,1.7401041,1.9522405,2.0642955,1.4746804,1.5160431,1.4503746,1.8122663,1.412297,1.1162981,3.1872985,2.0455391,1.943396,1.926089,13.290668,6.966357,5.389465,5.1416235,5.302098,2.7269342,3.735439,3.1221378
Shadow Piloswine,Ice Shard,Ice,Bulldoze,Ground,40,3.4315372,3.359145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3345275,3.1810305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.121846,4.929246,,,,,4.063858,3.6050842,4.063858,3.0614736,,,,,,,,,,,,,,,,,,4.404427,,,,,,,,,,,,,,,,,,,,,,,2.5434017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.160479,,
Virizion,Double Kick,Fighting,Leaf Blade,Grass,40,,,5.059019,,5.037653,,,,,,,,,,,,,,,,,,,,,,,,,,3.2098475,,,,,,,,6.8845525,4.1991262,6.3094716,9.794162,6.310207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.820253,4.548455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0045686,,,,,,,,,,,,,,,,,,,,,2.1871374,,1.7267345,,,,,,,,,,,,,,,,,2.6236408,,,,,,,,,,,,,,,,,,,
Rhydon,Mud-Slap,Ground,Breaking Swipe,Dragon,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72727,2.912628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7384667,3.3794022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0218482,,,,,,,,,,,,,,,,,2.269017,,,3.7539146,,,,,,,,,,,,,,,,2.6137607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8862796,,,,,,,,,,,,,,,,,
Slowbro (Galarian),Poison Jab,Poison,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1833413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Swampert,Water Gun,Water,Frustration,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.182549,,,,,,
Shadow Golem (Alola),Rock Throw or Volt Switch,Electric or Rock,Frustration,Normal,40,,,,,,,,,,,4.184577,,,,,,,,,6.4048767,3.5529375,4.2980313,2.622711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.525587,2.7110262,,,,,,11.54862,6.484381,,,,,,,,,5.291474,,,,,,,,,,,,,,,,,,,3.9715629,3.2804978,2.014561,,,,,,,,4.6773033,,,,,,,,,,,,,,,,,,,,,6.4599056,,,,,,,,,,,,,,,,,,,5.1631117,3.2273061,,,,,,,,,,,,,,,,,,,,,,,7.040927,,,2.946022,3.088385,3.021543,3.4040236,,3.4573565,,,,,,5.320077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3947979,,,,,,,,,,1.7869626,1.5905449,,,,,,,,,,,,,,
Venusaur,Razor Leaf,Grass,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7810341,,,,,,,,,
Cobalion,Double Kick or Metal Claw,Fighting or Steel,Stone Edge,Rock,40,,,5.524834,,5.5273547,,,,,,,,,,,,,,,,,,,,,,,,,,2.469534,,,,,,,,,4.64262,5.8797865,9.0434885,5.7660155,,,,,,,,,,,,,,,,,,,,3.284906,3.3214638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.481956,5.1053276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.872938,,,,,,,,,,,,,,,,,,,,,2.815135,,1.87556,,,,,,,,,,,,,,,,,2.971574,,,,,,,,,,,,5.3707232,,,,,,,
Ho-Oh,Incinerate,Fire,Earthquake,Ground,40,,,,,,,,,,,,,,,,,,,3.4541705,,,,,,,,,,,,,,5.3663445,3.2807462,,,,,,,,,,,,,,,,,,,,,,3.026228,4.934436,,,,,,,,,,,,,,,,3.2549505,,,,,4.7317142,,,,2.2594907,,,,,,,,,,,,,3.1397238,,,,,,,,,,,,,,,,,6.356016,3.7821572,,,,,2.6964676,,,,,,,,,,,,,,,,,3.6591656,,4.0013247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6860044,,,,,,1.565464,1.7647951,2.4933999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Muk,Poison Jab,Poison,Sludge Wave,Poison,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.438818,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9971879,,2.7723517,,,,,,2.870161,,,,,,,,,,,,,,,,2.0375001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,Dragon Breath or Ice Fang,Dragon or Ice,Blizzard,Ice,40,1.64927,1.7326388,,,,3.0987809,,,,,3.3674634,,,3.382687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2720184,3.150708,,,,,,,,,,,,,,,,,,2.8989272,6.80637,4.059831,,,,,,,,,,,,,,,,,,2.9485238,3.1814334,,,,,,2.4777987,3.8263342,6.1484785,3.7720144,,,,,3.2238984,1.6222714,,,,,,,,,,,,1.4580154,,,,,,,2.7554498,,,,,,,,,,,,,,,,4.2615566,2.4631755,,,2.885578,,2.01558,1.7977792,2.01558,1.5622748,,,,,,,,,,,,1.468242,,,,,,2.2183995,2.6293542,2.3636649,2.6921988,,2.7304468,,,,,,,,,,,,,,,,,,1.4651741,,,,,,,,,,,,,1.8816695,1.6135674,,,,,,,,,,,,,,,,1.4988724,,1.3799758,0.99051195,,,,,,,,,,3.6238074,,4.6440616
