Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Samurott,Fury Cutter or Waterfall,Hydro Cannon,30,1.4097795286835806,1.4210649614709552,1.4155521720721436,1.426062391171957,1.4008933872329938,1.2935081818390042,1.2847259257234525,1.3130437051433779,1.3853931501303625,1.390715782155409,1.350585092409445,1.3804466327729015,1.2833398366886872,1.3603462177822399,1.361170466017971,1.3787964644918989,1.392375518871927,1.3790349261903592,1.3944200391792099,1.3984020800988335,1.3487222159921683,1.4012355009044413,1.3748709858528252,1.4102351499008274,1.3165914077029364,1.3784941728801994,1.341333502180806,1.4275731470264643,1.2795050401873098,1.3649552139876957,1.3334712048324269,1.3881255284095892,1.3633496569316184,1.365078601124164,1.3726184094156741,1.4289271226930786,1.3123933412376463,1.349939685009366
Shadow Exeggutor,Confusion or Bullet Seed or Extrasensory,Seed Bomb or Solar Beam,45,1.2744812763320648,1.2083394018403149,1.2739834599358142,1.2171985821980018,1.2097443123048797,1.0745519157489996,1.0961841527023,1.0954606437669152,1.1087499054892096,1.069442839306226,1.1273667171467425,1.1439191533255038,1.1431364521672616,1.169208221443952,1.1278986619413176,1.1150642983026458,1.1157436571195636,1.104353810412589,1.1510870996504334,1.1840284888640542,1.1045197143276606,1.122810122591204,1.1282054966768456,1.1533849725632144,1.052635249382687,1.102189726894881,1.083971470807367,1.1229444826583048,0.9869006226633411,1.0344698288356304,1.1306494247899954,1.1512735675360846,1.112547585472401,1.1251871568704916,1.1038086024565212,1.151934019487541,1.0963674397269851,1.1171627935611352
Mega Venusaur,Vine Whip,Frenzy Plant,35,1.1978300026121955,1.171398583486982,1.2012633440463123,1.1717645511806698,1.088226397478607,1.0800387868868075,1.1129742813201826,1.1303618465552987,1.1443222344553308,1.158937689631786,1.1488361895784398,1.1870000927185065,1.1748784563510335,1.2084141454408728,1.13821492966195,1.1787037194229188,1.1234124989178251,1.1798832877653387,1.133936151106283,1.1854729697692024,1.1293502704114164,1.1845562928688638,1.1434013797685554,1.1872812967629778,1.1357876768698834,1.1752911641336499,1.1055829674047668,1.1592877704990387,1.0837226471525054,1.117684660820632,1.1401122150531704,1.1684899914100733,1.1398288248476276,1.1563487918932964,1.1238897781307813,1.2012782836061628,1.1286946981534856,1.1785296133085068
Shadow Feraligatr,Water Gun or Waterfall or Ice Fang,Hydro Cannon,50,1.0015013770015821,1.0046154862095784,1.00318008436201,1.0080160550332224,0.9873656765227813,0.945679362220478,0.9731626750221797,0.9916016103052756,0.9920367989257671,1.023852990934457,0.9888417140561256,1.0289861231301767,0.990839654511566,1.0569753428464657,0.9963035798158955,1.0316645491609278,0.9993623380175246,1.029238311618033,0.9940253912726974,1.0376538326195988,0.9916469607360348,1.0402004235353006,1.0094217794189158,1.0540576454345052,0.9709875697470265,1.0247496860483534,0.9869567987689741,1.0510384851189196,0.9765407921133449,1.0159775059943106,0.960258262445952,1.02035902687939,0.990016103971378,1.0236274626632114,0.9876796398213386,1.06700155879741,0.950880193689041,1.0120611220283053
Shadow Swampert,Mud Shot or Water Gun,Hydro Cannon,45,1.0036794215053948,1.0120558554254562,1.0050590638135106,1.0102934082450565,0.9920978784916289,0.9608962666644371,0.9782453262068246,1.0057010633122028,0.977586978876583,1.0153157432385336,0.9840144409074051,1.0625299403510942,0.9880595452718303,1.057357291016291,1.005525856435099,1.059802889198549,0.9923118817871496,1.0437605417184421,1.0172516437901689,1.084231718075897,0.9989110949671458,1.043288498616657,1.0065452949351112,1.0594785620283305,0.9932274393723945,1.0545091989499793,1.0101928891713654,1.0695854133874318,0.9909041965665887,1.0642408822249887,0.9906833736683656,1.064931080174801,0.9970139319813753,1.0365295311111382,0.9841452256620323,1.0709813151840548,0.9848240184122515,1.0452276113458556
Mega Venusaur,Vine Whip,Frenzy Plant,45,1.08186540205775,1.0661903106488904,1.085462081670985,1.0686759532304315,0.9861125148743359,0.9737778594990154,0.9964775394308534,1.0188359717285203,1.0686801116828053,1.077092764072231,1.0596581198232167,1.1048020459883792,1.0565753529037945,1.1069028782577635,1.0382905297404408,1.0865166961771564,1.0398070872603646,1.0901513513400867,1.0705391010643655,1.1189075123214134,1.0559414396624718,1.0773085193004353,1.076426611389742,1.1263656349092417,1.0330831810384504,1.0801895711562268,1.0636859500856186,1.1208488629333195,1.0174845241489179,1.0537308942542007,1.0659906215335728,1.0908853800694827,1.0458739525147753,1.1018751848276243,1.078354846973378,1.1258166502939533,1.0352957980674766,1.094551108352493
Shadow Feraligatr,Water Gun or Waterfall or Ice Fang,Hydro Cannon,35,1.1650451983678838,1.1705553147868248,1.1671773303222475,1.1748184622715305,1.163808837018727,1.0757943976880202,1.078190051717423,1.092301271474044,1.1432734768777222,1.1479172773444977,1.1286792635059957,1.1463341999938188,1.1290780724451395,1.1670940071692375,1.1319652823883934,1.149018720769588,1.1463700971028432,1.1423352785070422,1.138245741137642,1.1535243806645148,1.112741299459177,1.15863764436795,1.1373728328847594,1.1702229140188785,1.094531353184662,1.141975395302558,1.0659154816416283,1.1458528236214776,1.0732251898098868,1.1258735791418524,1.0697343801129786,1.1275527113733022,1.1324670424517365,1.135213185232733,1.1131915368374425,1.1858371741554743,1.1014324169800789,1.1296016893084693
Kyogre,Waterfall,Surf,35,1.207533779064272,1.2011943493132207,1.2091064203683848,1.2082438287195207,1.229651563345856,1.1389040727594517,1.1903713198850834,1.190055444778388,1.2009662124775133,1.2089371333520575,1.178529870812214,1.2269079343862033,1.1955031456982559,1.250437324256658,1.1940049734237352,1.2393970775208987,1.1769124321185929,1.2054740985467394,1.2051888962461812,1.2356544564813028,1.1849565331864123,1.2414359786141218,1.187464534356297,1.230494854240432,1.1848369325843788,1.2313538820448102,1.1748437307327986,1.2439791354539387,1.1110248993705556,1.1632907416135763,1.1571261871674856,1.2096456933327293,1.1885129036384372,1.1976221612471585,1.194621559551158,1.2582143177924545,1.150434013319196,1.191581425710322
Mega Gyarados,Waterfall,Hydro Pump,45,1.0181053396259414,1.0365100242943295,1.0187508059671373,1.0395493019779087,0.9881619283901398,0.9638746785634692,1.0021593812823755,1.0153231218897136,1.0312399316207335,1.0431636740709391,1.0417805043886759,1.091426435591544,1.0389578048357453,1.0999519973682041,1.0433396606148366,1.0864603517124267,1.0247399303611775,1.083759894792002,1.047102789287271,1.0981369642113459,1.0130454615142497,1.0532148431299573,1.043048959311183,1.09967689154484,1.0181960244130237,1.0802547414182566,1.015162618340108,1.0659581280437604,0.9808035933868464,1.0237337929170431,1.0024639314993808,1.036951085524205,1.0152056286944613,1.0601040774164259,1.035883552902569,1.0938786528762876,1.0202389250869923,1.0729989143065202
Shadow Vileplume,Razor Leaf,Solar Beam,45,,1.338977232656271,,1.3333873801887441,,1.2165504683984218,,1.1911752958478794,,1.295215040714,1.2640671359253306,1.2374983581097785,1.2997503005842526,1.2831017108782867,1.262660413104034,1.2237233138070092,1.2993189105885592,1.2683710913218669,1.3196274145594322,1.2640894619710394,1.2398268099253964,1.2190434592291743,1.2917451539368647,1.2634809280330217,1.2086736715765354,1.2555656088974827,1.1585202416771343,1.2203984951114266,1.136659202729232,1.1742874566215344,1.2853992414817867,1.2711076657841833,1.2844794726483428,1.243721317133447,1.1929575030552528,1.2368344375852636,1.240135580436896,1.229805829321859
Shadow Victreebel,Razor Leaf,Solar Beam or Leaf Blade,50,1.3198842270339841,1.1865045740277365,1.319833752448234,1.1897792265084528,1.1789981560004699,1.0555153564223503,1.0919783801687732,1.1016080030853732,1.1848544215950971,1.1496288592473785,1.1382709930152057,1.1443538872233896,1.1658308271583446,1.168736998487498,1.1286258175415123,1.1299290968230071,1.1503070839305962,1.1349948379528545,1.158096567392447,1.1517749907901131,1.1350823260961778,1.1424639916441435,1.1754765267231508,1.1452239850343437,1.1113382765078594,1.1471596896470309,1.0750068538860569,1.1437977884794324,1.0331088421632715,1.0947970673363676,1.1370415953316377,1.1449468078062213,1.134722962533623,1.135723328778649,1.0929401203639308,1.1611115492294588,1.1083913708612418,1.108490283819809
Shadow Exeggutor (Alola),Bullet Seed,Seed Bomb or Solar Beam,30,1.8851725461367583,1.4570665979416741,1.8765441299288323,1.4647076671770667,1.3656977913088435,1.3185044280347555,1.2845248677830268,1.2599026517064749,1.4172910244379362,1.3978383764442557,1.292539521263444,1.283193998022005,1.3523452673262917,1.3780253637896371,1.3985710927507278,1.3858067926280517,1.3531363496686335,1.3003729748382309,1.347222581158667,1.3492379338899154,1.2614621340046621,1.3240828412945291,1.3760332292882518,1.3421632107314996,1.2545682754879754,1.2896135077610322,1.2003632659375632,1.2663605685459773,1.1474522568263033,1.2011499907596168,1.5773923989693814,1.4526572573325098,1.260186694881861,1.2430404050881034,1.2604529826423783,1.3152944606326868,1.2899785360141152,1.3031440809761956
Kartana,Razor Leaf,Leaf Blade,40,0.9646977624557534,0.970236940568979,0.9671958127162804,0.9728869417953734,1.016094640221949,0.9210275480150647,0.9810555329924678,0.9616913365222444,1.0672856092250707,1.0088406472008118,0.9414542511435282,0.9721897793299541,0.9720014077701054,0.9992229881871811,0.972225115407504,0.9830702930845122,0.9518841438102978,0.9623447133039924,0.9985690923217594,1.0106018484635721,0.9532496772561325,0.9714298406568967,0.9851406938526717,0.9868847579843263,0.967179114039523,0.974828656265635,0.9268704657436723,0.9741094703612161,0.887775789622978,0.9170036899452692,0.9549400534630386,0.9645405517309763,1.0000532766833181,0.9800715863608603,0.9430616414805802,1.0018797214054314,0.9278337423569678,0.9448192919052418
Gyarados,Waterfall,Hydro Pump,40,1.3732037559026768,,1.379516826867397,,1.214252785722674,,1.407178287379547,,1.3585900034489344,,1.3701288594078378,1.3847783255037704,1.2930648640760343,1.3634430049199657,1.312253559879682,1.3721609555189203,1.3386560248173303,1.3582933002295454,1.2866427358007941,1.350233484839502,1.3061530989641317,1.3493015026347708,1.3349128343729073,1.37407294780284,1.2891548796553456,1.3444833662498987,1.27300946986904,1.3490529532367435,1.247999755499938,1.3030674729438236,1.2786561205498896,1.3410738873977008,1.3043299015771186,1.3312023517923746,1.3395859665398964,1.396624537021895,1.319708075918297,1.323499276874382
Feraligatr,Water Gun or Waterfall,Hydro Cannon,45,1.2657266087769865,1.2941600237596136,1.2661670473684963,1.2952211405977392,1.1925922445131745,1.1418078630292274,1.2051696885896805,1.2226551882632446,1.1978641015435287,1.2325694288187867,1.2081630918531339,1.2750380532204229,1.1971194838159218,1.281440204350588,1.2047908701166792,1.2688108152007087,1.2157819743732863,1.2744496175908175,1.2381820808936814,1.292986789666887,1.2008077670891726,1.2830397352823106,1.211107294705125,1.2745282458720808,1.1965379333712032,1.269483966943085,1.2068333210732687,1.293198404338174,1.1684495592074566,1.2371075451668498,1.193401289032465,1.269571473054032,1.2234313426985337,1.2460745765468835,1.2407753444039105,1.3112526113467635,1.1902323689897942,1.2708714343585055
Shadow Blastoise,Water Gun,Hydro Cannon,35,1.3805019338255629,1.384154307813505,1.3836604990428623,1.3869031185419225,1.3751778285233134,1.287890063889203,1.309790637365365,1.3275691729575536,1.3315579306303287,1.3673155348039252,1.3220318488070217,1.3690439949313882,1.3561291773021957,1.4280662040935246,1.3465921769595492,1.3965784655554694,1.35761081095627,1.3756649513602375,1.3988451102250992,1.4211040079096802,1.3212268221688062,1.365010339180374,1.3468433604181242,1.3993910619437764,1.3161120712896888,1.3823156778668055,1.2531296752581564,1.357614823708473,1.2738831432966153,1.3417803329307676,1.2900845704507893,1.363633554506502,1.3259884433351,1.3373134704817577,1.3226499788402672,1.3983823969618974,1.2763016202002524,1.3203390756399567
Kyogre,Waterfall,Surf,40,1.1939227872984666,1.1754246352337747,1.195043783467868,1.1759288925617093,1.1710399092106543,1.0842063730688813,1.117130282695065,1.1166228872928825,1.1376777569166574,1.1539633000693195,1.1315730467301275,1.1798068750772652,1.1463073257339083,1.197968777880377,1.1375603305603108,1.1872460235781088,1.138747373730084,1.1700075796402463,1.1481767102392588,1.1827384169882074,1.1204025589810014,1.1813036089346554,1.1311197109686262,1.1811209661235929,1.132314360757538,1.1811845657451154,1.1254353597734819,1.1903660367565163,1.0861112981472913,1.1343498232388711,1.1109413473179321,1.1687315837124883,1.142948367687357,1.1714003557441146,1.145037125410888,1.208593292007797,1.103013968026394,1.1474779757464606
Swampert,Mud Shot or Water Gun,Hydro Cannon,40,1.27464389713292,1.3024481216386325,1.2580780506608464,1.2996631015404219,1.1939355247309351,1.1511097990469519,1.2093866066469858,1.2458362333011734,1.239198069414174,1.2681675850580088,1.2348727824823835,1.311225313697614,1.2821150434285304,1.3879460356499032,1.208184691159991,1.2793041305662145,1.212099137218489,1.2877406035180385,1.2375652772677261,1.299611139717441,1.2468207494375343,1.3557913224562013,1.2838559262479958,1.3655859055867923,1.1954108075987186,1.2808387735529212,1.2131514533896508,1.3037744726298823,1.2271147894362602,1.304191600181274,1.2328023174811258,1.3156178201260358,1.219610683853845,1.2577387728398044,1.2572177765661732,1.346286786514817,1.199650856490209,1.2898185158468445
Crawdaunt,Snarl or Waterfall,Crabhammer,50,1.2417461551162656,,1.245798528381337,,1.3282505945189733,,1.280855615184311,,1.4437839032627282,,1.2180096040919768,1.2132738132031153,1.089773545681161,1.1200765841268354,1.2531415786207931,1.243352416120696,1.2472349897323078,1.218721072636656,1.1527759710304628,1.1485265375407585,1.2239151715892216,1.2201397590648633,1.242161482074959,1.2282741017938192,1.1752681718215787,1.1949154831538984,1.1468138308959748,1.2057855843721021,1.1267455847920962,1.185960730042802,1.1506369990900758,1.186434213566536,1.254181872183832,1.2183914199317083,1.2004988682988025,1.2392501834147873,1.1978230005105668,1.1898169471762392
Swampert,Mud Shot or Water Gun,Hydro Cannon,30,1.3758086140684207,1.3839907758374168,1.3771786169922835,1.3844734558245129,1.3519517782488768,1.3089219110553807,1.2940153360945486,1.3155120184192755,1.315248717207594,1.3753747792761508,1.3067745163184572,1.3902431929163062,1.3631975856269258,1.4523824193032127,1.3511722753421236,1.4164648191983515,1.3256551138198662,1.3996392614945077,1.3854780334877206,1.4430044095251766,1.3228809285055292,1.398060611379545,1.3542886089801451,1.4223083878173304,1.338890981206206,1.4230397828210155,1.371281492459129,1.4645728249836085,1.2861555182756634,1.3816277114077904,1.3232039243661888,1.3951944477639244,1.357340613278969,1.3807470935252875,1.314768430841045,1.4218226324633298,1.3281330194835983,1.405376094295549
Mega Sceptile,Bullet Seed,Frenzy Plant,50,0.9172793400942855,0.9009770723853431,0.9175384539539736,0.9027152286534464,0.8130776359431575,0.8024939075666151,0.818866930704734,0.834202623283562,0.8592298954262227,0.8623048167694044,0.8434060143404624,0.8757976109531461,0.86744809295582,0.8907674554312229,0.8610286107219969,0.8817894965291718,0.8382417970927905,0.8686028975690288,0.8603353680143397,0.8894603277742463,0.881100129964337,0.9014278199525323,0.8483303808380676,0.870076429166795,0.8285158602643605,0.8738107302714619,0.8251925439829265,0.8711614413739006,0.8239524103551507,0.8447355268618177,0.8746793001482612,0.8925767498466309,0.8469956197300804,0.8622834540895261,0.8398766908070798,0.8892358970672395,0.8197839475493305,0.8471017549325035
Shadow Victreebel,Razor Leaf,Leaf Blade,35,1.5360602634034954,1.3591697870022388,1.538600460755437,1.3564941612851202,1.3003551480562203,1.1992871498464124,1.2042171665476715,1.2210391604007507,1.3492882117059875,1.332977068333175,1.2942417944121645,1.2803535279391765,1.3364209076508824,1.3370293376500515,1.3239146922780094,1.2704321256438738,1.3127832709896483,1.293078879224406,1.293015148662306,1.3051834741944723,1.291665109153249,1.2858066375533548,1.3370231933096481,1.3039629826991543,1.257932766398749,1.249211356082607,1.2070015921234782,1.2754331848867855,1.1645286759891864,1.2204922378393452,1.3169001388596588,1.3125266982154482,1.3072993946276,1.285158866179524,1.2262888883760599,1.2894926030588556,1.2586327135928304,1.2358884087145248
Shadow Torterra,Razor Leaf,Frenzy Plant,50,1.0748460917128564,1.0860278423499958,1.0749468751062536,1.0869263821883817,1.003845422522026,0.9857099579973846,0.9945943844246823,1.0077814392752034,1.029034225734681,1.0469805476925858,1.0359471002287055,1.1084101480405488,1.0593551294583572,1.0974420156933993,1.039902097668939,1.0854562915156156,1.0259696115818315,1.0661365856518148,1.0379031456514385,1.0844852659545319,1.0450761989738289,1.0956058618845856,1.0401543615131907,1.089306605797914,1.0419043871249998,1.0830278883345932,1.0263789147461708,1.0855903713309762,1.0067144874404805,1.041489081782883,1.053064236575878,1.0899220714736917,1.0254651479122876,1.0651359700744614,1.0324304239932276,1.1007233822765947,1.0211879471548768,1.068686820116285
Roserade,Razor Leaf,Grass Knot or Solar Beam,50,1.2430493754828926,1.2133928755975811,1.2429752875429385,1.2178866605311258,1.1742070111247127,1.0692605060164486,1.0942875134394918,1.102046588581736,1.1562279829592221,1.1569949678254616,1.1627364321918654,1.1813615519532699,1.2059325699616126,1.2131565725826599,1.1435204706751072,1.1699268913746321,1.1836367749049803,1.178784464179325,1.152374384490355,1.1714706479149097,1.1491383564901718,1.1769188158997468,1.1875910269196919,1.2053686811027025,1.1291705046824683,1.1653071713508605,1.1264572771775372,1.1864021561041886,1.0801462033963543,1.1377960516105248,1.165903851168469,1.162617477788527,1.1649196461501679,1.1729278780411787,1.1431136733378902,1.2068270312637748,1.1202785517560006,1.1504791027456387
Latios,Dragon Breath or Zen Headbutt,Solar Beam,30,1.7244476611594435,1.7076136507669626,1.7272905975687933,1.7139708052027125,1.6420738559622592,1.5939348157800117,1.5665229174259938,1.5617973980573754,1.4842118163350522,1.4437197040410206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Blastoise,Water Gun,Hydro Cannon,35,1.0754313539522056,1.090409636090519,1.0795299237584461,1.0947484056537327,1.0295482110259684,0.9770711637665728,1.0269905119800495,1.04548564993715,1.0299204701630855,1.0532316559947996,1.0350130192236369,1.0904089079305228,1.0285462815938153,1.0869117622314421,1.0343401465170203,1.0953840669049224,1.0426110467582392,1.0737485042657504,1.0618690123519259,1.127126372678535,1.036416018063905,1.0762458346673773,1.0452504409953152,1.0915323037054128,1.0248169271411394,1.091597930058483,1.0387009581340296,1.1069504191013315,1.0041316499122044,1.0750760361764584,1.0266040525235085,1.1051931613251336,1.0368542100290397,1.0974674014902546,1.0771061986145978,1.1595865542641302,1.0267030461612463,1.090240574950096
Zarude,Vine Whip,Power Whip,50,1.0479645520223748,1.079400385312028,1.0484860718088485,1.0816207265997857,0.9883403931514615,0.9946750059897265,1.0254613826603276,1.054128766099892,1.0399735801186987,1.054277007778153,1.057812113672889,1.1184690242922486,1.0869597456698625,1.1462956433661007,1.0599723508351415,1.1138334072816196,1.0448426711592718,1.1280572314257473,1.0691189795771077,1.1283257030080949,1.0580940857287888,1.1302427933176984,1.0585359782279467,1.1186716251551092,1.0582027387772164,1.1166831515961095,1.0423867459345248,1.1161953104122002,1.0266851760854105,1.084932292106898,1.064069105365105,1.0986081328711361,1.056407087394608,1.102406124296304,1.0810051678226626,1.138677185491579,1.0491915394893907,1.1174779781112907
Shadow Omastar,Water Gun,Hydro Pump,50,,,,,,,,,,,1.2781188187662256,,1.2478182090495102,,1.2998045532261717,,1.2791209202918217,,1.2988194405383715,,1.2557309180227867,,1.2855541283700347,,1.3117697980480167,,1.2140163000774313,,1.1369812551544385,,1.1931540267466656,,1.2683015830896205,,1.2376879659146507,,1.1882616772746375,
Feraligatr,Water Gun or Waterfall,Hydro Cannon,40,1.3181033110621323,1.3263485357485933,1.3188327106914992,1.324734464250595,1.2994319212606387,1.2424770308989899,1.2474006994126783,1.2808219593567696,1.2888215702119246,1.3146536114247596,1.2596936232847076,1.3309359160588452,1.3032218703649996,1.3761506828395165,1.2296184528427876,1.2988819202634057,1.2445646060473938,1.3062707649003626,1.2664533751692761,1.3294375638439349,1.2475116894767893,1.3278765647592408,1.3014745440292577,1.353726660318238,1.2540789046815788,1.3214542055725265,1.2378979527199585,1.3351883498436277,1.248542431027822,1.3016184853507693,1.2314346547069386,1.2964808610495626,1.2641355780919072,1.2931712932876271,1.2741452140403666,1.3626617632092266,1.2163672095501927,1.292037514718111
Crawdaunt,Snarl or Waterfall,Crabhammer,35,,1.3619815778591324,,1.3629557098248792,,1.307189707632275,,1.3601974197491227,,1.449762150681874,1.3989376004450487,1.3798497573865742,1.2112638498596933,1.2440911754426136,1.4449261916571343,1.415259852137075,1.4447482461747188,1.3816422481382402,1.3275629383292653,1.3137080217191899,1.406850675364905,1.3827074296369612,1.4208947225618989,1.3753967078863565,1.3497881951257333,1.3250684143097695,1.2874097471903723,1.3479911828630102,1.232768165709917,1.283251124962931,1.3411615857566253,1.329477417643148,1.4495354247477146,1.4273545398554635,1.3538257610157203,1.3796276849990694,1.3758719069303789,1.3302842265598636
Sharpedo,Waterfall,Hydro Pump,40,,,,,,,,,,,,1.488391256644826,,1.388434187163432,,1.533137167724043,,1.5184090665381509,,1.5499711197926676,,1.4400159597722724,,1.4794465593346324,,1.4660232250369043,,1.3654381638475834,,1.287769791730836,,1.368834361480511,,1.511821632752755,,1.4189830610902816,,1.446336921595084
Tsareena,Magical Leaf,Grass Knot,40,1.3470912960657226,1.3326071106868336,1.3514194157309536,1.3339872667143258,1.2743362855988802,1.1931799920961061,1.2399638578070886,1.2500887804918692,1.2840661732200582,1.2972975703744944,1.2366401324329335,1.2755543214550624,1.2773681378324908,1.3291988243673718,1.2673453085203565,1.294161939558785,1.248751823841024,1.281221868270102,1.270292480960744,1.3119115598938726,1.242651814218716,1.3133074488146916,1.25249704437311,1.3014133646195112,1.2305635403507311,1.280841255504489,1.2291654833376409,1.2909598539859555,1.1842729155534035,1.2504216432218804,,,1.25287492050321,1.2533970319997263,1.2264029965302687,1.3041534338784504,1.2250559104946508,1.272325710251089
Latios,Zen Headbutt or Dragon Breath,Solar Beam,40,1.5917053512506192,1.6171666564918763,1.5898523216433391,1.628442447795989,1.5112466883811673,1.472512882001845,1.4561655320036224,1.476232919667523,1.3137577172459658,1.2975001583694328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Gallade,Confusion or Charm or Low Kick,Leaf Blade,50,1.3251909595495266,1.3300710222729113,1.2104100669677464,1.1927531942914438,1.2009423230249447,1.1995774561604746,1.111041939838582,1.1068713579260352,1.0534595036304633,1.0918674968933482,1.1095234268760044,1.1660595021016196,1.4089513936085931,1.471948657976802,1.2935396727585677,1.3137156253264393,1.2722036547991453,1.327353748755244,1.289576000623717,1.3041892986652126,1.2843679285504939,1.34134111927519,1.249325034779818,1.2946297104951245,1.2404638167548663,1.2924082156799468,1.099724022175597,1.1681064505277128,1.2279261094070921,1.3118320360981417,1.136826567588056,1.1664269218501875,1.2670329031133916,1.2900078936998907,1.2247489014620554,1.3059620970996804,1.0799193529888023,1.12861820378387
Crawdaunt,Snarl or Waterfall,Crabhammer,30,,1.4310891359090274,,1.4374625850212905,,1.3535503716902446,,1.3876022163294275,,1.5320627147495187,1.4934237467548521,1.4627381706638645,1.28290235568613,1.3104522707778365,1.543288195054626,1.5034498137374963,1.508780033095633,1.4663192562955385,1.378389008538392,1.369361889665374,1.4744972211251908,1.4243621102221096,1.5230862081016867,1.4626809358495556,1.461640768542546,1.3926364242746072,1.3767088656762043,1.4178696938251707,1.277511562417475,1.3295370878419,1.4136010776656864,1.3767307648805625,1.5215678169711717,1.4917754441846958,1.4691443117010416,1.4528614450080215,1.4533201859292455,1.4164531159434397
Tapu Bulu,Bullet Seed,Grass Knot or Solar Beam,40,1.2905442406507786,1.2716836326695837,1.2918981461832681,1.2758832045056758,1.2259615646801378,1.163215772303869,1.18545354936696,1.19588970623542,1.2258344706794038,1.2602505892591693,1.2172406199777475,1.2582654685375199,1.240931472420431,1.2939558205606219,1.2511833637614855,1.2832396017773893,1.2213520427359241,1.2721747288515193,1.2331691081463323,1.2773275749551594,1.2119993000670135,1.251519916398097,1.2204868347772626,1.2756234625291145,1.220389822926612,1.2724384638175468,1.1864298243875433,1.2437306529861194,1.1861778193555226,1.2303988072981358,1.2379695557991794,1.2569082812697083,1.2209985028479864,1.2651263957139811,1.2176979539061497,1.2947443009426998,1.2011182335413149,1.2375969196038972
Kingler,Bubble,Crabhammer,45,1.2044410584959633,1.1702797562136276,1.207195501958851,1.1720112868249353,1.1912120170453617,1.0566011420290466,1.1260471402303491,1.1144241860643243,1.1916836634721073,1.1529110799342184,1.146869688002225,1.1354965076029175,1.1228041419048134,1.1369840796709334,1.136807694537141,1.1268629882785466,1.1798038716554116,1.153269830345353,1.1803238304095156,1.153964261802138,1.1358999529224638,1.1464718122576034,1.1489848952997828,1.1544852248719102,1.0941867730375276,1.1228172263761835,1.0828876988275433,1.1321155209359115,1.0413851692566005,1.0764204235868062,1.0953767132055896,1.1218083707671587,1.144074307332339,1.1372757392654562,1.128264007054019,1.1578589106547927,1.0974600858070704,1.1010703930292376
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,35,1.4384003580247273,1.3890469351637915,1.4443207329348253,1.3864251851248668,1.4036137137285258,1.2755865387307161,1.299792079340343,1.2928277714002645,1.4331560655265734,1.3997200210069392,1.3647393450982814,1.361870286809247,1.3282245686336867,1.3503554261239623,1.3689205829052056,1.3575842417807664,1.3727917236181653,1.3468412072390343,1.3940262165248933,1.3936082154290454,1.335336431024367,1.3567214965564054,1.3930583166041968,1.3938966398674795,1.2996189092794324,1.3548145886250547,1.2928928560359356,1.3635955625926406,1.2736810487142496,1.3257643372782844,1.3512504285104658,1.369003558493344,1.3516979176023334,1.3462413042543877,1.3117572406712477,1.3724579972250783,1.3294921188491067,1.3456988195004833
